Timestamp,TotalTime(s),Throughput,MinWait,MaxWait,AvgWait,StdWait,MinTAT,MaxTAT,AvgTAT,StdTAT
1740575623379,2.34,42.83,0,2269,932.25,597.11,56,2335,987.41,597.73
1740575625657,2.28,43.90,0,2221,928.46,590.28,55,2278,983.60,590.34
1740575627947,2.29,43.67,0,2238,916.69,588.18,57,2290,971.08,588.47
1740575630104,2.16,46.36,0,2097,914.92,571.10,54,2157,970.28,571.79
1740575632272,2.17,46.13,0,2105,888.20,554.01,54,2168,942.31,554.55
