Timestamp,TotalTime(s),Throughput,MinWait,MaxWait,AvgWait,StdWait,MinTAT,MaxTAT,AvgTAT,StdTAT
1740574021415,2.18,45.79,3,2118,1007.21,602.09,59,2181,1068.95,602.36
1740574023811,2.38,41.98,0,2318,1026.56,623.99,66,2381,1088.85,624.09
1740574026135,2.32,43.20,0,2252,1017.16,622.05,53,2315,1079.45,622.59
1740574028317,2.18,45.91,1,2115,1005.83,603.89,58,2178,1067.64,604.23
1740574030340,2.02,49.55,0,1967,913.29,549.01,57,2018,968.26,548.19
